exercicio;numero_patrimonio;descricao_bem;codigo_area_carga;valor_atual;situacao_bem
2025;836403;Cadeira giratória com braços;1301;860,63;ATIVO
2025;618378;Nobreak 1500VA;1101;1.003,32;ATIVO
2025;780440;Condicionador de ar split;1102;3.647,54;ATIVO
2025;460410;Cadeira giratória com braços;1301;387,57;ATIVO
2025;988842;Cadeira giratória com braços;1401;416,70;ATIVO
2025;247900;Armário de aço 2 portas;9002;1.790,77;ATIVO
2025;645950;Impressora multifuncional;1401;1.562,25;ATIVO
2025;206.782;Scanner de mesa;1102;1988.57;ATIVO
2025;350775;Cadeira giratória com braços;1202;569,97;ATIVO
2025;674429;Monitor LED 24 polegadas;9002;803,26;ATIVO
2025;709004;Gaveteiro volante;1202;695,18;ATIVO
2025;179432;Monitor LED 24 polegadas;1401;1.063,83;ATIVO
2025;161018;Monitor LED 24 polegadas;9001;1.135,90;ATIVO
2025;924903;Gaveteiro volante;1102;424,89;ATIVO
2025;237582;Monitor LED 24 polegadas;1101;905,94;ATIVO
2025;955615;Condicionador de ar split;1502;4.102,08;Ativo
2025;295534;Cadeira giratória com braços;1502;745.50;ATIVO
2025;579119;Longarina 3 lugares;1201;752,86;ATIVO
2025;747781;Monitor LED 24 polegadas;1501;1.324,38;ATIVO
2025;201526;Gaveteiro volante;9002;381,29;ATIVO
2025;905520;Monitor LED 24 polegadas;1301;1.077,10;Ativo
2025;647906;Nobreak 1500VA;9001;704,52;Ativo
2025;559540;Estação de trabalho;9001;3.599,02;ATIVO
2025;446025;Cadeira giratória com braços;1301;823,75;ATIVO
2025;881807;Impressora multifuncional;9002;2.348,39;ATIVO
2025;532649;Mesa de escritório em L;1601;994,81;ATIVO
2025;905355;Estação de trabalho;1101;3094.07;Ativo
2025;190968;Mesa de escritório em L;1502;965,25;ATIVO
2025;695004;Notebook;9001;6.176,06;ATIVO
2025;672160;Scanner de mesa;9002;2.066,22;ATIVO
2025;286823;Cadeira giratória com braços;1301;358,39;ATIVO
2025;00663171;Scanner de mesa;1202;1.168,06;ATIVO
2025;829910;Armário de aço 2 portas;1502;1.802,63;Ativo
2025;729401;Monitor LED 24 polegadas;1301;1058.17;Ativo
2025;978697;Notebook;9002;6.372,75;ATIVO
2025;436235;Monitor LED 24 polegadas;9001;970.33;ATIVO
2025;947546;Armário de aço 2 portas;1301;1.291,54;Ativo
2025;340695;Condicionador de ar split;1501;2.275,09;ATIVO
2025;584540;Cadeira giratória com braços;9002;817,35;ATIVO
2025;729901;Estação de trabalho;9001;4.956,04;ATIVO
2025;213620;Mesa de escritório em L;1502;1.126,72;Ativo
2025;955172;Condicionador de ar split;1102;2.379,65;ATIVO
2025;718778;Mesa de escritório em L;1301;798,58;ATIVO
2025;317.832;Estação de trabalho;9001;3.115,59;Ativo
2025;335576;Estação de trabalho;1201;4.267,78;ATIVO
2025;341642;Gaveteiro volante;9002;676,83;Ativo
2025;00616396;Notebook;9001;6.714,63;ATIVO
2025;468312;Monitor LED 24 polegadas;9001;779,03;ATIVO
2025;268940;Gaveteiro volante;9002;541,62;ATIVO
2025;896299;Gaveteiro volante;1202;684,09;ATIVO
2025;857505;Notebook;1502;4.715,72;ATIVO
2025;171169;Impressora multifuncional;1101;2.270,89;ATIVO
2025;460609;Armário de aço 2 portas;1101;1.148,89;ATIVO
2025;208849;Scanner de mesa;1501;1.370,87;ATIVO
2025;939677;Cadeira giratória com braços;1102;624,47;ATIVO
2025;783081;Mesa de escritório em L;1301;772,08;ATIVO
2025;394633;Nobreak 1500VA;1301;1.259,34;Ativo
2025;225787;Monitor LED 24 polegadas;1701;654,30;ATIVO
2025;00886909;Cadeira giratória com braços;9002;864,50;ATIVO
2025;941789;Mesa de escritório em L;1101;905,58;ATIVO
2025;237058;Estação de trabalho;1101;3.857,75;ATIVO
2025;953370;Gaveteiro volante;1202;295,47;ATIVO
2025;910.123;Armário de aço 2 portas;1201;1.500,20;Ativo
2025;425916;Monitor LED 24 polegadas;9001;716,11;ATIVO
2025;533273;Armário de aço 2 portas;1401;1416.09;ATIVO
2025;642946;Armário de aço 2 portas;1202;1.012,50;ATIVO
2025;470296;Armário de aço 2 portas;1302;1.471,60;ATIVO
2025;811649;Estação de trabalho;1302;4.983,86;Ativo
2025;772099;Notebook;1501;5.706,01;ATIVO
2025;716741;Notebook;1201;4521.88;ATIVO
2025;103446;Longarina 3 lugares;1501;839.80;ATIVO
2025;836099;Scanner de mesa;1401;1.319,25;ATIVO
2025;570797;Gaveteiro volante;1302;666.62;ATIVO
2025;760955;Estação de trabalho;1502;3.056,26;ATIVO
2025;612530;Mesa de escritório em L;1101;520,81;ATIVO
2025;615474;Monitor LED 24 polegadas;1701;1.140,06;ATIVO
2025;360680;Estação de trabalho;9002;4.390,89;ATIVO
2025;529660;Nobreak 1500VA;9002;763,27;Ativo
2025;00191179;Monitor LED 24 polegadas;1302;701,77;ATIVO
2025;961401;Nobreak 1500VA;9001;1.117,33;Ativo
2025;00347840;Mesa de escritório em L;1101;643,85;ATIVO
2025;525475;Impressora multifuncional;1302;3.268,43;Ativo
2025;439834;Armário de aço 2 portas;1501;1.714,77;Ativo
2025;852563;Estação de trabalho;1201;4.599,32;ATIVO
2025;829292;Monitor LED 24 polegadas;1401;1.101,28;ATIVO
2025;358788;Monitor LED 24 polegadas;1401;1.122,30;ATIVO
2025;921889;Monitor LED 24 polegadas;1302;1.124,39;ATIVO
2025;200356;Mesa de escritório em L;9001;711,04;ATIVO
2025;146059;Armário de aço 2 portas;1401;1.395,58;ATIVO
2025;540749;Cadeira giratória com braços;1501;554,47;ATIVO
2025;765599;Estação de trabalho;9001;3.790,95;ATIVO
2025;564909;Cadeira giratória com braços;9002;729.53;ATIVO
2025;543438;Mesa de escritório em L;9001;875,11;ATIVO
2025;962895;Gaveteiro volante;1201;653,15;ATIVO
2025;982885;Cadeira giratória com braços;1302;568,22;ATIVO
2025;00766234;Monitor LED 24 polegadas;9001;698,80;ATIVO
2025;376938;Longarina 3 lugares;9002;1.077,14;Ativo
2025;314101;Notebook;9001;5.029,42;ATIVO
2025;161.669;Nobreak 1500VA;9002;466,97;ATIVO
2025;430923;Cadeira giratória com braços;1501;649,45;Ativo
2025;139619;Impressora multifuncional;1201;1.415,07;ATIVO
2025;379081;Mesa de escritório em L;1302;1.476,49;ATIVO
2025;314.394;Monitor LED 24 polegadas;1401;1298.84;ATIVO
2025;904733;Notebook;9001;3.554,53;Ativo
2025;951.335;Mesa de escritório em L;9002;639,15;ATIVO
2025;427201;Estação de trabalho;1301;3.266,34;ATIVO
2025;205941;Longarina 3 lugares;1201;440,76;Ativo
2025;254.276;Nobreak 1500VA;1102;1.011,77;ATIVO
2025;899471;Nobreak 1500VA;1201;628,98;ATIVO
2025;765126;Nobreak 1500VA;9001;625.39;ATIVO
2025;545891;Mesa de escritório em L;1601;1.186,91;ATIVO
2025;161905;Impressora multifuncional;1401;3.843,31;ATIVO
2025;00686770;Monitor LED 24 polegadas;9001;1.240,52;ATIVO
2025;200984;Notebook;9001;3.299,00;ATIVO
2025;299426;Monitor LED 24 polegadas;1202;1.148,11;Ativo
2025;945371;Monitor LED 24 polegadas;1202;1.241,23;ATIVO
2025;387998;Gaveteiro volante;1302;382.79;ATIVO
2025;815225;Impressora multifuncional;1301;1.618,23;ATIVO
2025;869145;Cadeira giratória com braços;1201;555.43;ATIVO
2025;00551657;Estação de trabalho;9002;4.115,03;ATIVO
2025;138176;Notebook;1201;3.371,80;Ativo
2025;793962;Armário de aço 2 portas;1302;1191.10;ATIVO
2025;988486;Armário de aço 2 portas;1401;943,52;ATIVO
2025;831802;Impressora multifuncional;1201;3.918,42;ATIVO
2025;547.037;Gaveteiro volante;1502;464,45;ATIVO
2025;732.079;Notebook;9001;6.392,41;ATIVO
2025;727452;Estação de trabalho;1401;4.965,58;ATIVO
2025;117456;Gaveteiro volante;1301;231,95;ATIVO
2025;853427;Nobreak 1500VA;1501;989,77;Ativo
2025;561827;Longarina 3 lugares;1201;880,67;ATIVO
2025;428300;Monitor LED 24 polegadas;1401;980,41;ATIVO
2025;310841;Scanner de mesa;1102;1.103,09;ATIVO
2025;00287042;Mesa de escritório em L;1101;1.595,25;Ativo
2025;817100;Armário de aço 2 portas;1201;618,60;ATIVO
2025;681698;Condicionador de ar split;9002;2.703,97;ATIVO
2025;594747;Nobreak 1500VA;1401;1.008,41;ATIVO
2025;688869;Condicionador de ar split;1401;4.515,25;ATIVO
2025;411605;Notebook;1601;3.895,75;ATIVO
2025;368267;Armário de aço 2 portas;9002;871,51;ATIVO
2025;269.849;Monitor LED 24 polegadas;9001;970,42;ATIVO
2025;916953;Longarina 3 lugares;1601;642,30;ATIVO
2025;556.910;Mesa de escritório em L;1201;809,88;ATIVO
2025;278480;Cadeira giratória com braços;1601;307,40;ATIVO
2025;367137;Monitor LED 24 polegadas;1201;1.178,95;ATIVO
2025;654901;Condicionador de ar split;1502;4.275,58;Ativo
2025;185362;Longarina 3 lugares;9001;1.094,87;ATIVO
2025;742.322;Impressora multifuncional;1202;3.220,71;ATIVO
2025;380.949;Gaveteiro volante;1301;674,18;ATIVO
2025;158846;Monitor LED 24 polegadas;1201;1.272,01;ATIVO
2025;995181;Longarina 3 lugares;1101;916,37;ATIVO
2025;307.447;Cadeira giratória com braços;1201;392,95;ATIVO
2025;611550;Mesa de escritório em L;1301;560,91;ATIVO
2025;112905;Gaveteiro volante;9001;396,97;ATIVO
2025;463926;Gaveteiro volante;9002;307,44;ATIVO
2025;339352;Cadeira giratória com braços;1701;700,69;ATIVO
2025;591292;Gaveteiro volante;1101;491,96;ATIVO
2025;594138;Nobreak 1500VA;1201;561,61;ATIVO
2025;119683;Cadeira giratória com braços;1202;567,30;ATIVO
2025;323424;Monitor LED 24 polegadas;9002;811,21;ATIVO
2025;612546;Cadeira giratória com braços;1601;459,38;ATIVO
2025;883602;Longarina 3 lugares;1601;503,85;ATIVO
2025;876469;Nobreak 1500VA;9001;595,99;ATIVO
2025;515567;Nobreak 1500VA;1502;564,00;ATIVO
2025;553998;Monitor LED 24 polegadas;1102;1.190,72;ATIVO
2025;687506;Notebook;9001;6.041,47;ATIVO
2025;639538;Cadeira giratória com braços;1601;775,87;ATIVO
2025;465372;Monitor LED 24 polegadas;9002;697,08;ATIVO
2025;666359;Longarina 3 lugares;1201;422,02;ATIVO
2025;606193;Monitor LED 24 polegadas;1601;1226.71;ATIVO
2025;573638;Cadeira giratória com braços;1202;809.30;ATIVO
2025;131659;Cadeira giratória com braços;1101;727,05;ATIVO
2025;604839;Longarina 3 lugares;1301;472,49;ATIVO
2025;763321;Notebook;1102;3.563,41;ATIVO
2025;313136;Mesa de escritório em L;1101;1.063,38;ATIVO
2025;921881;Monitor LED 24 polegadas;1502;1.087,99;ATIVO
2025;413326;Armário de aço 2 portas;1401;1.025,89;BAIXADO
2025;789426;Armário de aço 2 portas;1502;1.444,72;ATIVO
